"","X_CENTROID","Y_CENTROID","SUPERFICIE","SIREN"
"260",708299,7027832,23638,200044618
"261",842463,6521302,53724,200046977
"262",400356,6760056,64622,200048551
"263",871346,6903301,29521,200049187
"264",649891,6165539,78591,200049211
"265",649751,6613335,85873,200049484
"266",655704,6859932,81489,200054781
"267",891573,6268483,315832,200054807
"268",581563,6741867,51784,200055481
"269",666651,6881035,34221,200055655
"270",435894,6809453,62675,200055887
"271",643328,6844216,18693,200056232
"272",650264,6878859,7479,200056380
"273",646757,6834243,13342,200057859
"274",672614,6861017,9631,200057958
"275",569017,6809697,45591,200058360
"276",661826,6844178,6685,200058477
"277",642448,6878552,8691,200058485
"278",635495,6867205,11490,200058519
"279",625743,6853766,12007,200058782
"280",663442,6834854,21571,200059228
"281",874961,6478758,65805,200059392
"282",535091,6529872,34002,200059400
"283",613346,6876176,50848,200059889
"284",397797,6689534,131821,200060010
"285",474221,6908777,28057,200065563
"286",468485,6896954,16712,200065589
"287",454661,6905066,34961,200065597
"288",985180,6713607,44986,200065647
"289",525061,6917295,31663,200065787
"290",779691,6503507,131430,200065886
"291",798098,6516988,55561,200065894
"292",231117,6865668,90113,200065928
"293",1025622,6749825,43911,200066009
"294",516515,6903799,40882,200066017
"295",1036549,6775341,32891,200066025
"296",1008742,6733451,23028,200066033
"297",1023225,6726159,43330,200066041
"298",1034372,6732074,27000,200066058
"299",869767,6834798,73993,200066108
"300",854332,6902659,49438,200066116
"301",607757,6313417,118647,200066124
"302",858066,6928740,44267,200066132
"303",865291,6871274,66390,200066140
"304",890520,6842803,71148,200066157
"305",871314,6886604,35069,200066165
"306",883140,6918966,49671,200066173
"307",566517,6229527,38452,200066223
"308",586217,6229867,41859,200066231
"309",643059,6787381,49118,200066280
"310",546278,6327657,45021,200066322
"311",663471,6679483,69323,200066330
"312",683716,6259680,78393,200066348
"313",754769,6263227,37477,200066355
"314",599600,6183625,109046,200066363
"315",598457,6420815,126154,200066371
"316",401844,6897149,79455,200066389
"317",538374,6918343,34126,200066405
"318",528883,6890113,90315,200066413
"319",541399,6858917,70908,200066462
"320",571540,6548171,61845,200066512
"321",536159,6516898,42180,200066520
"322",676626,6286575,79511,200066553
"323",651631,6285844,46445,200066561
"324",813172,6510788,39876,200066587
"325",574861,6482432,25565,200066603
"326",700541,6454985,90435,200066637
"327",608998,6496624,51650,200066645
"328",560664,6310626,43924,200066652
"329",702196,6430368,138117,200066660
"330",644353,6413831,105164,200066678
"331",452246,6882390,35671,200066710
"332",447145,6894366,13065,200066728
"333",643874,6496916,182690,200066744
"334",620385,6445488,65393,200066751
"335",600582,6439205,38178,200066769
"336",294878,6780444,73307,200066777
"337",304304,6761549,64137,200066785
"338",941446,6533044,53760,200066793
"339",415869,6915292,59171,200066801
"340",556972,6241908,41084,200066819
"341",503979,6923969,19556,200066827
"342",751536,6841489,76344,200066835
"343",756718,6879622,58322,200066850
"344",155132,6822901,28266,200066868
"345",793982,6873791,81115,200066876
"346",583255,6326995,33755,200066884
"347",820011,6801352,44761,200066892
"348",786474,6337937,92524,200066918
"349",505092,6293068,60596,200066926
"350",673463,6901385,19772,200066975
"351",377741,6888735,50770,200067023
"352",374893,6913415,48896,200067031
"353",1180643,6136029,92325,200067049
"354",640679,6387078,18583,200067064
"355",178780,6862919,24865,200067072
"356",757239,6740869,59190,200067080
"357",361651,6250994,299888,200067106
"358",743526,6742478,43729,200067114
"359",561587,6337617,22047,200067122
"360",720300,6728029,172781,200067130
"361",685676,6316416,43191,200067155
"362",684301,6302528,65429,200067163
"363",679750,6403660,86336,200067171
"364",612494,6542716,88297,200067189
"365",194795,6829241,39688,200067197
"366",372160,6944781,142129,200067205
"367",771558,6905495,143681,200067213
"368",263888,6771585,62731,200067221
"369",429214,6272459,52471,200067239
"370",174386,6813042,42444,200067247
"371",424670,6250711,34386,200067254
"372",405358,6231929,107048,200067262
"373",386546,6261576,44433,200067288
"374",443404,6259064,58342,200067296
"375",751702,6766468,46779,200067304
"376",952854,6383561,24399,200067320
"377",324359,6681683,52543,200067346
"378",616844,6394842,128525,200067361
"379",828573,6856694,45235,200067379
"380",734880,6704098,50468,200067429
"381",955325,6338751,159851,200067437
"382",923094,6387301,71772,200067445
"383",995693,6407045,75308,200067452
"384",275980,6806013,115460,200067460
"385",674081,6383358,64586,200067478
"386",951539,6923630,33275,200067486
"387",971753,6886906,34761,200067502
"388",642084,6572864,99175,200067544
"389",960717,6585333,23874,200067551
"390",650156,6543797,96688,200067593
"391",727704,6514297,27034,200067627
"392",369783,6674800,31150,200067635
"393",950413,6826010,27180,200067643
"394",957384,6906657,25275,200067650
"395",696356,6768791,50000,200067668
"396",672496,6757094,75443,200067676
"397",773175,6872359,58794,200067684
"398",746876,6688294,76803,200067692
"399",732781,6637585,53033,200067700
"400",973364,6388793,62237,200067742
"401",816375,6973630,41463,200067759
"402",882824,6434947,47724,200067767
"403",1023313,6872146,36078,200067783
"404",586573,6211733,44752,200067791
"405",824766,6565068,45509,200067817
"406",938873,6378859,34989,200067825
"407",1003308,6875562,38419,200067841
"408",375066,6686860,27748,200067866
"409",1045840,6864611,39799,200067874
"410",759009,6646835,121379,200067882
"411",771895,6675362,97276,200067890
"412",734419,6659921,65274,200067908
"413",704847,6696500,71843,200067916
"414",1042994,6819108,27217,200067924
"415",268354,6744505,79958,200067932
"416",549587,6209436,164667,200067940
"417",944664,6897248,25578,200067957
"418",685805,6919378,26483,200067965
"419",645961,6909141,30680,200067973
"420",240916,6846654,112386,200067981
"421",636431,6929589,54194,200067999
"422",646874,6945511,39809,200068005
"423",658495,6906938,8384,200068047
"424",929090,6667685,65586,200068070
"425",716731,6676146,59379,200068088
"426",947528,6406040,79493,200068096
"427",942634,6261612,95379,200068104
"428",1024188,6856175,24496,200068112
"429",172188,6796055,47944,200068120
"430",994824,6854129,83143,200068146
"431",885919,6361353,109193,200068229
"432",684894,6725666,55087,200068278
"433",962071,6711075,37958,200068294
"434",934818,6803275,47628,200068369
"435",966980,6772893,26172,200068377
"436",535999,6813973,39036,200068435
"437",432556,6832093,33836,200068443
"438",477071,6856486,72126,200068450
"439",521085,6850474,55067,200068468
"440",696628,6370722,74141,200068484
"441",715628,7007081,41295,200068500
"442",558306,6964797,47630,200068534
"443",882631,6515610,61981,200068542
"444",903706,6810569,73058,200068559
"445",895713,6496371,34078,200068567
"446",986100,6326162,173639,200068625
"447",559430,6266527,32143,200068641
"448",859732,6786196,93223,200068658
"449",842850,6829981,94272,200068666
"450",924852,6519767,34857,200068674
"451",915241,6795347,41640,200068682
"452",952203,6795781,112693,200068757
"453",924885,6364129,149385,200068765
"454",919329,6779259,69549,200068773
"455",862108,6435160,90978,200068781
"456",419756,6872413,79868,200068799
"457",573561,6251421,31525,200068807
"458",542293,6247852,57442,200068815
"459",650696,6347546,58294,200068831
"460",535815,6832219,39011,200068856
"461",1027679,6845222,17607,200068864
"462",590463,6608714,45501,200068872
"463",614798,6652846,71605,200068880
"464",499842,6512818,44646,200068914
"465",493763,6358947,38159,200068922
"466",535290,6373875,45301,200068930
"467",486874,6340225,74525,200068948
"468",449826,6728584,44597,200068955
"469",491485,6784408,18844,200068963
"470",320070,6828363,95553,200068989
"471",965284,6515160,76452,200068997
"472",804351,6778625,81548,200069003
"473",608070,7042463,40487,200069029
"474",644526,7065327,54763,200069037
"475",993401,6732869,25793,200069052
"476",992232,6743780,17427,200069060
"477",257690,6848384,42031,200069086
"478",499282,6437755,39176,200069094
"479",745278,6399035,50936,200069102
"480",934724,6505522,52315,200069110
"481",762047,6377739,71894,200069128
"482",764508,6348880,61899,200069136
"483",709639,6407380,54837,200069144
"484",741429,6353696,90943,200069151
"485",680357,6503605,69346,200069169
"486",714117,6507444,30884,200069177
"487",726438,6415828,43610,200069185
"488",856641,6552233,63525,200069193
"489",682937,6697502,69420,200069227
"490",630021,7049013,42387,200069235
"491",779234,6795856,89330,200069250
"492",717776,6372789,58375,200069268
"493",457415,6232602,61849,200069300
"494",620044,6364232,67030,200069383
"495",295536,6828747,83801,200069391
"496",268282,6834992,60523,200069409
"497",373363,6284070,39173,200069417
"498",390520,6848414,154405,200069425
"499",982287,6836625,44986,200069433
"500",1019223,6893747,60188,200069441
"501",500628,6860988,53388,200069458
"502",666541,7018436,55786,200069482
"503",440216,6910672,19707,200069516
"504",431781,6890915,42292,200069524
"505",497135,6893198,94872,200069532
"506",860441,6699665,12592,200069540
"507",949483,6633411,42009,200069565
"508",434757,6398188,31123,200069581
"509",455112,6404443,43915,200069599
"510",893045,6634948,43405,200069615
"511",926593,6632079,62658,200069623
"512",392481,6299099,31287,200069631
"513",416892,6290626,58927,200069649
"514",406558,6351138,179218,200069656
"515",883413,6792434,82971,200069664
"516",648818,7030744,62448,200069672
"517",842430,6602017,21831,200069698
"518",602063,6974994,46633,200069722
"519",597651,6939501,61218,200069730
"520",437424,6607198,51967,200069748
"521",460370,6568693,106177,200069755
"522",482435,6625549,56226,200069763
"523",515683,6963083,20900,200069821
"524",535171,6969075,39093,200069839
"525",544730,6957160,25381,200069847
"526",498309,6610332,107131,200069854
"527",551144,6836577,31651,200069912
"528",601278,6828708,40539,200069953
"529",570258,6780917,77129,200069961
"530",398177,6471364,50615,200069995
"531",494319,6572285,82584,200070035
"532",530259,6591170,199857,200070043
