"","insee","nom","surf_km2"
"244","69034","Caluire-et-Cuire","1038"
"245","69276","Feyzin","1052"
"246","69296","Solaize","821"
"247","69003","Albigny-sur-Saône","261"
"248","69244","Tassin-la-Demi-Lune","797"
"249","69040","Champagne-au-Mont-d'Or","256"
"250","69259","Vénissieux","1545"
"251","69271","Chassieu","1157"
"252","69260","Vernaison","418"
"253","91479","Paray-Vieille-Poste","610"
"254","93006","Bagnolet","257"
"255","92051","Neuilly-sur-Seine","373"
"256","92050","Nanterre","1224"
"257","93033","Gournay-sur-Marne","167"
"258","93062","Le Raincy","223"
"259","91326","Juvisy-sur-Orge","225"
"260","93045","Les Lilas","126"
"261","92036","Gennevilliers","1166"
"262","93039","L'Île-Saint-Denis","173"
"263","92012","Boulogne-Billancourt","617"
"264","94016","Cachan","278"
"265","69127","Marcy-l'Étoile","536"
"266","69204","Saint-Genis-Laval","1290"
"267","69091","Givors","1748"
"268","94019","Chennevières-sur-Marne","523"
"269","94060","La Queue-en-Brie","939"
"270","93057","Les Pavillons-sous-Bois","292"
"271","93061","Le Pré-Saint-Gervais","70"
"272","93048","Montreuil","891"
"273","69029","Bron","1031"
"274","69085","Fleurieu-sur-Saône","295"
"275","13060","Meyreuil","2012"
"276","13099","Saint-Paul-lès-Durance","4624"
"277","13069","Pélissanne","1907"
"278","13003","Alleins","1685"
"279","69273","Corbas","1190"
"280","13210","Marseille 10e Arrondissement","10"
"281","13212","Marseille 12e Arrondissement","14"
"282","13214","Marseille 14e Arrondissement","16"
"283","13213","Marseille 13e Arrondissement","28"
"284","13211","Marseille 11e Arrondissement","33"
"285","69382","Lyon 2e Arrondissement","3"
"286","69385","Lyon 5e Arrondissement","6"
"287","69381","Lyon 1er Arrondissement","1"
"288","69389","Lyon 9e Arrondissement","7"
"289","69384","Lyon 4e Arrondissement","2"
"290","69388","Lyon 8e Arrondissement","6"
"291","69383","Lyon 3e Arrondissement","6"
"292","69386","Lyon 6e Arrondissement","3"
"293","75116","Paris 16e Arrondissement","16"
"294","75115","Paris 15e Arrondissement","8"
"295","75114","Paris 14e Arrondissement","5"
"296","75107","Paris 7e Arrondissement","4"
"297","75106","Paris 6e Arrondissement","2"
"298","75105","Paris 5e Arrondissement","2"
"299","75104","Paris 4e Arrondissement","1"
"300","75103","Paris 3e Arrondissement","1"
"301","75111","Paris 11e Arrondissement","3"
"302","75112","Paris 12e Arrondissement","16"
"303","75117","Paris 17e Arrondissement","5"
"304","75108","Paris 8e Arrondissement","3"
"305","75109","Paris 9e Arrondissement","2"
"306","75110","Paris 10e Arrondissement","2"
"307","75118","Paris 18e Arrondissement","5"
"308","13216","Marseille 16e Arrondissement","16"
"309","13215","Marseille 15e Arrondissement","16"
"310","13209","Marseille 9e Arrondissement","63"
"311","13208","Marseille 8e Arrondissement","19"
"312","13202","Marseille 2e Arrondissement","4"
"313","75101","Paris 1er Arrondissement","1"
"314","75102","Paris 2e Arrondissement","0"
"315","69387","Lyon 7e Arrondissement","9"
"316","13207","Marseille 7e Arrondissement","5"
"317","13201","Marseille 1er Arrondissement","1"
"318","13203","Marseille 3e Arrondissement","2"
"319","13206","Marseille 6e Arrondissement","2"
"320","13205","Marseille 5e Arrondissement","2"
"321","13204","Marseille 4e Arrondissement","2"
"322","75113","Paris 13e Arrondissement","7"
"323","75119","Paris 19e Arrondissement","6"
"324","75120","Paris 20e Arrondissement","5"
