codgeo,D1_st_Living,Median_st_Living,D9_st_Living,Interdecile_91_Ratio,Taxable_HH,Poverty_amg_Owners,Poverty_amg_Tenants,-30_Poverty,3039_Poverty,4049_Poverty,5059_Poverty,6074_Poverty,75+_Poverty,Poverty,Activity_Income,Salary_Income,Unemployment_Benef,Self-Employment,Pensions_Annuities,Estate,Social_Benef,Family_Benef,Social_Minima,Housing_Benef,Tax,taux_cumu_1_inj
200034023,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0
200034031,0,0,0,1,0,1,1,NA,NA,1,1,1,NA,1,0,0,1,1,1,1,1,0,1,1,1,0
200034049,0,0,0,0,0,1,1,NA,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
200034056,1,0,0,0,0,1,0,NA,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
200034064,0,0,0,1,0,1,1,NA,1,1,1,1,NA,1,0,0,1,1,1,1,1,0,1,1,1,0
200034098,1,1,1,1,1,0,0,NA,NA,0,0,NA,NA,0,1,1,1,1,0,1,0,0,0,0,0,0
200034130,1,1,1,1,1,0,0,NA,NA,0,0,NA,NA,0,1,1,0,1,0,1,0,0,0,0,0,0
200034197,0,0,0,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0
200034205,0,0,0,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
200034270,1,1,1,1,1,0,0,NA,0,0,0,0,NA,0,1,1,0,1,0,1,0,0,0,0,0,0
200034379,0,0,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0
200034411,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
200034601,0,0,0,1,0,1,1,NA,NA,1,1,1,NA,1,0,0,1,1,1,1,1,0,1,1,1,1
200034635,1,1,1,1,1,0,0,NA,0,0,0,NA,NA,0,1,1,0,1,0,1,0,0,0,0,0,0
200034692,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1
200034700,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1
200034718,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
200034726,0,1,1,1,0,1,0,NA,NA,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0
200034825,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0
200034833,0,0,0,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0
200034874,0,0,0,0,0,1,1,NA,NA,1,NA,NA,NA,1,0,0,0,1,1,1,0,1,0,0,1,0
200034882,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
