"","V1","V2","V3"
"585","X15._nonMarried_amg_POP","X15._Married_amg_POP","-1"
"586","X15._Married_amg_POP","X15._nonMarried_amg_POP","-1"
"587","X1524_amg_HH","X1524_amg_15.POP","0.98478451249496"
"588","X1524_amg_15.POP","X1524_amg_HH","0.98478451249496"
"589","CraftsBusinessShopkeepers_HH","Pop_CraftsBusinessShopkeepers_HH","0.974242730342974"
"590","Pop_Other_HH","Other_HH","0.968854642385061"
"591","Other_HH","Pop_Other_HH","0.968854642385061"
"592","Pop_WhiteCollar_HH","WhiteCollar_HH","0.965653604855865"
"593","WhiteCollar_HH","Pop_WhiteCollar_HH","0.965653604855865"
"594","Pop_ChildFamily_HH","ChildFamily_HH","0.990713848141293"
"595","ChildFamily_HH","Pop_ChildFamily_HH","0.990713848141293"
"596","Pop_OtherNoFamily_HH","OtherNoFamily_HH","0.972829035542927"
"597","OtherNoFamily_HH","Pop_OtherNoFamily_HH","0.972829035542927"
"598","Pop_SingleMan_HH","SingleMan_HH","0.975785193736688"
"599","SingleMan_HH","Pop_SingleMan_HH","0.975785193736688"
"600","X15._women_amg_nonsalWF","X15._men_amg_nonsalWF","-1"
"601","X15._men_amg_nonsalWF","X15._women_amg_nonsalWF","-1"
"602","X15._FullTime_amg_salWF","X15._FullTime_amg_empWF","0.966918723212382"
"603","X15._FullTime_amg_empWF","X15._FullTime_amg_salWF","0.966918723212382"
"604","X15._women_amg_empWF","X15._men_amg_empWF","-1"
"605","X15._men_amg_empWF","X15._women_amg_empWF","-1"
"606","X15._BlueCollar_amg_POP","X1564_BlueCollar_amg_EmpWF","0.952401505436483"
"607","X5564_Unemployed_rate_amg_WF","X5564_Employed_rate_amg_WF","-1"
"608","X5564_Employed_rate_amg_WF","X5564_Unemployed_rate_amg_WF","-1"
"609","X1524_men_Workforce_rate","X1524_Workforce_rate","0.964435828348377"
"610","X1524_Workforce_rate","X1524_men_Workforce_rate","0.964435828348377"
"611","X5564_men_Workforce_rate","X5564_Workforce_rate","0.966717387603784"
"612","X5564_Workforce_rate","X5564_men_Workforce_rate","0.966717387603784"
