codgeo,Abstention,LePen,Melenchon,Macron,Fillon,DupontAignan,Lassalle,Hamon,Asselineau,Poutou,Arthaud,Cheminade,Abstention2,LePen2,Macron2
200067189,0.20368493781667435,0.1989357842544443,0.212843149111138,0.22408997460394245,0.17450719554964325,0.04135929374773249,0.021163381303664287,0.09082113919458218,0.008586286128915226,0.01632603700568388,0.008465352521465715,0.0029024065787882454,0.22393146647015474,0.3426317272471119,0.6573682727528881
200067197,0.18996724702637477,0.139337112952464,0.28587003924989096,0.2409507195813345,0.12734409071085914,0.03597906672481466,0.017226341037941562,0.10706498037505452,0.008068033144352376,0.02703881378107283,0.0085041430440471,0.0026166593981683385,0.23952405587170203,0.263638806772373,0.7363611932276269
200067205,0.19603332596033327,0.2032619622506788,0.1975591653435301,0.2552353930420241,0.17655182780747658,0.0507050986950272,0.008558892887005703,0.07720854198179239,0.007046289423989327,0.013585246009451423,0.00806095510104379,0.0022266274579806275,0.23442696695500836,0.3273492592795058,0.6726507407204941
200067213,0.220948641970026,0.2390452764872005,0.16852019257047954,0.2353031863827163,0.21539442610773576,0.05205990147230923,0.007210881493472365,0.05503815670527887,0.008843666127076896,0.00934821760183881,0.007428118933994856,0.0018079761178968613,0.26199161335872145,0.3667898892617994,0.6332101107382007
200067221,0.14803644560144766,0.24717205414318033,0.16093408489589325,0.2456382530004985,0.18953947620690978,0.053376279765328424,0.012308754170021856,0.05659726216496031,0.007055485256336516,0.016871812569500363,0.008474251313317228,0.002032286514053453,0.1868948220578431,0.37513297872340423,0.6248670212765958
200067239,0.1583569664257616,0.17724410765030368,0.17551679946509166,0.27514347801861033,0.16493007187830835,0.043962779294589624,0.07165542987685965,0.06981668245389201,0.005906279601047529,0.010809606062294533,0.004011812559202095,0.0010029531398005238,0.17602927721866424,0.30053208539008913,0.6994679146099109
200067247,0.16888499708114418,0.1638235082415605,0.18757647736270064,0.2725113366443533,0.188368243000072,0.04455481177571439,0.016267184913265672,0.09285251565536601,0.006909954653422587,0.01813863096523429,0.00762974159648744,0.0013675951918232204,0.1995911214953271,0.2640316871734367,0.7359683128265633
200067254,0.20235300466823175,0.13362158422691112,0.203851031938199,0.301245243860256,0.1748068719013029,0.036135132018909256,0.04360659518044506,0.08310849763634268,0.0075291133402513545,0.010734463276836158,0.003931742188400784,0.0014297244321457396,0.22499730089610248,0.2280546336819558,0.7719453663180442
200067262,0.17844886753603295,0.12276214833759591,0.2449559533958511,0.225206024438761,0.11508951406649616,0.03339016766126741,0.1540210287013356,0.07871554418868996,0.005209813393956616,0.013498152884342142,0.005493985033626978,0.0016576678980771053,0.20972169271826152,0.26339285714285715,0.7366071428571429
200067288,0.1847152337198279,0.14867710335988282,0.16927583997070403,0.24077634349537672,0.16231804449327109,0.045408770484299185,0.13924745948915132,0.0683878055479264,0.006774695596447862,0.012633891787970338,0.004943696786597089,0.0015563489883731576,0.19962074246955,0.2955821591270262,0.7044178408729739
200067296,0.15723822239176044,0.17467025822032323,0.17346275311164777,0.2793516626416496,0.1601801969162177,0.04992569199331228,0.07365781162920304,0.06608768344789151,0.006641278097715028,0.011285528515697566,0.0035296303176667286,0.0012075051086754597,0.1765873015873016,0.29108082000643987,0.7089191799935601
200067304,0.2256076287940458,0.34904134904134904,0.15584815584815584,0.1777931777931778,0.17070917070917072,0.07084007084007084,0.009394009394009395,0.03788403788403789,0.006853006853006853,0.013013013013013013,0.006699006699006699,0.001925001925001925,0.2328273134415169,0.5187558745620781,0.4812441254379219
200067320,0.14054789858771483,0.288559235927657,0.19528551107498476,0.18106076000812843,0.16866490550701077,0.07031091241617557,0.018695387116439748,0.05263157894736842,0.007112375533428165,0.011379800853485065,0.004877057508636456,0.001422475106685633,0.17066530542793942,0.4604215456674473,0.5395784543325527
200067346,0.15070237493683677,0.17960667577591255,0.1798750731992973,0.250683193441343,0.2397276986140933,0.058095842279914114,0.009393909818465742,0.05555826664064025,0.007075932071052118,0.011760687097403865,0.006173140737848916,0.0020495803240288893,0.19419615773508594,0.30487734983952314,0.6951226501604768
200067361,0.1645811865155307,0.13903042655408357,0.25462221575192895,0.2712913087785704,0.15533556558451012,0.03766923860823992,0.03352016305139031,0.0775585965933906,0.007497452322026496,0.01517688164216043,0.006660358130732276,0.001637792982966953,0.20233783823572712,0.24601017186951946,0.7539898281304805
200067379,0.19381354099069867,0.40744812422701665,0.1152947643259585,0.15844441390682973,0.19087536072557373,0.06238834684622784,0.00879483303559159,0.031469011955476155,0.005634189913425862,0.010031606431221658,0.008245155970867116,0.001374192661811186,0.2235561323815704,0.5646237393328162,0.4353762606671839
200067429,0.22731593957959226,0.2639629525680606,0.1957619983160258,0.19618299186079147,0.173309009261858,0.05781644681448218,0.010384507437552624,0.06960426606792029,0.009121526803255684,0.013050799887735054,0.009121526803255684,0.0016839741790625876,0.24044350580781415,0.4438434616608336,0.5561565383391665
200067437,0.18852065999153858,0.24664573222951755,0.23240793605481017,0.20821438766771339,0.16111190408221523,0.04817299457607765,0.01709249214958607,0.05755780759349129,0.00859977162432201,0.012774764487582073,0.005566657151013417,0.001855552383671139,0.22534256250882892,0.4070703240214048,0.5929296759785952
200067445,0.17729235458470918,0.22564754489114888,0.25282059431113935,0.20403623073256,0.15350389321468297,0.05323375178770062,0.02129350071508025,0.055299539170506916,0.009852216748768473,0.012871444462100748,0.008422056252979501,0.003019227713332274,0.21532012195121952,0.38570607396052886,0.6142939260394712
200067452,0.17950950515164707,0.19219600725952812,0.22849364791288565,0.2029038112522686,0.21960072595281308,0.054083484573502726,0.020145190562613432,0.05462794918330308,0.009800362976406534,0.012704174228675136,0.003266787658802178,0.002177858439201452,0.22093192045289592,0.3530571992110454,0.6469428007889546
200067460,0.15794893459720646,0.20921985815602837,0.1694068343004513,0.256963249516441,0.20409413281753708,0.050419084461637655,0.010219213410702772,0.06598968407479046,0.007124435847840103,0.01569954867827208,0.009284332688588007,0.001579626047711154,0.18796893162844763,0.32484476641040805,0.675155233589592
200067478,0.15343579321732503,0.16053098711121402,0.16354094311954928,0.23539399552365517,0.2746006019912017,0.05070618198657097,0.03982403334105117,0.0505518252681948,0.006097090375858609,0.011422397159836381,0.005248128424789689,0.002083815698078259,0.19062440449723686,0.27647483312285764,0.7235251668771423
200067486,0.20836181362497153,0.29720124389160374,0.13616170590848511,0.19983710943284466,0.19235895157707686,0.0692284910410188,0.014438027543314082,0.048274840811491186,0.011698504368428847,0.015548645046645935,0.01288316303864949,0.0023693173404412855,0.2342922244374822,0.4328508919555705,0.5671491080444295
200067502,0.23621507901560743,0.3275607111169531,0.17738490355229863,0.1778778219578719,0.15947553481647006,0.06618251125497027,0.01002267424665637,0.0431139298741415,0.012487266274522691,0.013900299037166048,0.009956951792579934,0.002037396076369492,0.2668248648384177,0.49541867683907403,0.504581323160926
200067544,0.19266536673166343,0.22916465475615644,0.19623370352486721,0.2066634476098503,0.20347658136166102,0.053887011105746015,0.017865765330758086,0.05494929985514244,0.010622887493964268,0.015258329309512313,0.00975374215354901,0.0021245774987928537,0.21831408429578522,0.40428211586901763,0.5957178841309824
200067551,0.24473792113715576,0.18230979900663788,0.17332776307849418,0.24297915796314348,0.2532145012300979,0.05407789073016757,0.009910411734670194,0.053195933713967414,0.013786380726918257,0.01065311237989138,0.004688297822958733,0.0018567516130529639,0.2613199780461032,0.30222501769007,0.6977749823099301
200067593,0.22674772036474164,0.20835785756327252,0.1748087110064744,0.22401412595644496,0.20506180105944674,0.059211300765155975,0.02742789876397881,0.0642731018246027,0.00694526191877575,0.01683343143025309,0.009535020600353149,0.003531489111241907,0.2345636126791142,0.3569289409202287,0.6430710590797714
200067627,0.16403504170382416,0.1975060076638306,0.25732285510164316,0.24732090667013054,0.12911606157043579,0.04182632980450737,0.023446125868675716,0.07001363902058842,0.007988569201792558,0.01636682470611158,0.007923621484704813,0.0011690589075793985,0.203031574530578,0.31715461675856177,0.6828453832414382
200067635,0.12957369906421745,0.14191476941039113,0.19950379451255107,0.28782837127845884,0.20726795096322242,0.05779334500875657,0.00884413309982487,0.06856392294220666,0.00741389375364857,0.012784588441330999,0.0060712200817279625,0.0020140105078809106,0.1792403810466411,0.23003107605095105,0.7699689239490489
200067643,0.18288116163546045,0.33502976762051084,0.2021317457269061,0.17726137891300173,0.14365277511042826,0.04868446322258498,0.012099097368926445,0.05031688112156712,0.007874015748031496,0.012003072786633378,0.008930286153255234,0.0020165162281544076,0.22022763730807424,0.5050288168154594,0.49497118318454064
200067650,0.1922289156626506,0.3447269375528074,0.15054919732698363,0.18933865888317075,0.15961287349258776,0.06413703049389353,0.010215838390045319,0.050003840540748135,0.0076042706813119285,0.012750595283815962,0.00898686535064137,0.0020738920039941626,0.22389588479845754,0.5094190835012705,0.49058091649872954
200067668,0.19639710201683963,0.34989630858564913,0.12600580671920364,0.1585234342596433,0.21443384487764414,0.07051016175860639,0.01194525093322273,0.04338448776441311,0.007963500622148486,0.01003732890916632,0.005309000414765657,0.0019908751555371214,0.22325915290739412,0.5389005136009131,0.46109948639908693
200067676,0.18097899306421836,0.3186703324168958,0.13134216445888527,0.16777055736065982,0.23662834291427143,0.06792051987003249,0.012059485128717821,0.037115721069732564,0.008747813046738315,0.009060234941264685,0.00849787553111722,0.0021869532616845787,0.2088383460521722,0.5003557199772339,0.49964428002276606
200067684,0.22769905630429135,0.2877819045066432,0.14101925948615843,0.19447103419228856,0.2384270781483325,0.06340697629896236,0.007696136615997243,0.038863575448941305,0.009036259907340046,0.009955201592832254,0.007734425852892752,0.0016081479496113642,0.26384599844151346,0.46526938062609163,0.5347306193739084
200067692,0.19116956317519962,0.2328438717410848,0.1619718309859155,0.20527419838178004,0.22640095894516032,0.06143242433323344,0.015732694036559785,0.06382978723404255,0.008091099790230746,0.01438417740485466,0.0092897812406353,7.491759065028469e-4,0.21287593984962405,0.4018528229330537,0.5981471770669463
200067700,0.24417162698412698,0.26719040378442305,0.19454299712789322,0.23855380976516302,0.14892718364588614,0.044179760094610575,0.00937658388241257,0.06436898124683224,0.00650447710761953,0.015796587261361718,0.008869741510390269,0.0016894745734076701,0.25781637717121586,0.41614367094718546,0.5838563290528145
200067742,0.19929861214744068,0.1947122267824759,0.223155483439916,0.2211510928700964,0.19347141357258757,0.07416245108332538,0.014889758518659922,0.05306862651522382,0.0078266679392956,0.01154910756896058,0.0039133339696478,0.0020998377398110148,0.2356540556674875,0.34832222347757313,0.6516777765224269
200067759,0.21494297206457655,0.38731026544852887,0.18818790015106826,0.16372922811308538,0.13250845262930724,0.048989281346665706,0.0077692252355945615,0.03805481620027336,0.006905977987195166,0.013883893245090281,0.00992734335659305,0.0027336162865980863,0.25,0.5774565016390687,0.4225434983609313
200067767,0.17790391803959574,0.21981638662740344,0.23124891737398234,0.19695132513424563,0.18586523471332064,0.05265892949939373,0.01645591546856054,0.0623592586177031,0.008834228304174605,0.01524337432877187,0.009353888792655465,0.0012125411397886714,0.21044610695483512,0.36337741607324514,0.6366225839267549
200067783,0.20047912067264784,0.3361532418877273,0.12091365037162366,0.18345519366729107,0.1864160976494048,0.08520152275061937,0.013173001389812073,0.03746449936552058,0.010272524019578223,0.011118496585896429,0.013414707837331561,0.0024170644751948757,0.233475830318974,0.48179194723100177,0.5182080527689982
200067791,0.1728549924736578,0.19506994643507203,0.2786416350304228,0.22975713765666442,0.1158666597326954,0.035051224712673565,0.026782463986686777,0.09204846845909824,0.007800717666025274,0.011805086067918249,0.0056165167195381975,0.001560143533205055,0.22009529382261975,0.3318054494525083,0.6681945505474918
200067817,0.18745491507639844,0.2844809695762255,0.13427136512680032,0.2005561781430291,0.23205910430415475,0.06757149379487817,0.012493255302369983,0.04341509982152492,0.008633212966421782,0.009629352924085835,0.005188228946166936,0.0017017390943427553,0.21723300970873785,0.44024767801857584,0.5597523219814241
200067825,0.20677086209753134,0.2144689950106914,0.18934426229508197,0.24151817533856024,0.19411974340698504,0.05687811831789023,0.0135424091233072,0.06429080541696365,0.009978617248752673,0.011012116892373485,0.003813257305773343,0.0010334996436208125,0.24431002099215557,0.3464269401652618,0.6535730598347382
200067841,0.20467303899256561,0.36144815373516104,0.09870794254607464,0.15537482783498394,0.2046304190988391,0.094575982160425,0.015478454777989113,0.027021709188692858,0.01213353446579655,0.01456024135895586,0.013969961303863056,0.0020987735292188627,0.2382205577205324,0.532059512121441,0.467940487878559
200067866,0.13494972001524524,0.16682957480974656,0.19437268728618307,0.27214968931089856,0.2065209802415695,0.06105564476715772,0.0075752286532151086,0.06507016686448369,0.006807233121552747,0.010961390770090064,0.006842142009355582,0.0018152621657473993,0.185205816817169,0.2575534868528499,0.74244651314715
200067874,0.20773435324804737,0.29510897350930676,0.11469201492113386,0.19594402681259587,0.22891064361591335,0.07805192100130655,0.010831076858987711,0.041979890553104464,0.013008653500217758,0.010982560451421106,0.008255855787620003,0.0022343829883925696,0.2439292465964213,0.4389424733034792,0.5610575266965209
200067882,0.18859996828920247,0.24375947448206164,0.15037897928246588,0.22748863062152602,0.21303688731682668,0.05639211723092471,0.01414855987872663,0.06437594744820617,0.007074279939363315,0.012935826174835775,0.008691258211217787,0.0017180394138453764,0.2056934422329712,0.4056560037088549,0.5943439962911451
200067890,0.1992094861660079,0.24238209634593502,0.18371475534201542,0.23037046402832217,0.17385257301808066,0.05664432924516374,0.013655329371601972,0.07131116449614364,0.006954102920723227,0.011758755847768365,0.00809204703502339,0.0012643823492224048,0.21987356775977873,0.397160005855658,0.602839994144342
