codgeo;superficie;SEXE-AGE3_B_POP_ENS_ENS;densite;taux_cumu_1_inj;latitude;longitude
200037059;466,200;27253;5,84577434577435e+01;0,700;6985055;698427
200037133;604,930;34587;5,71752103549171e+01;0,635;6835151;722160
200038958;658,080;12721;1,93304765378070e+01;0,634;6104939;1198242
200038990;332,710;26473;7,95677917706111e+01;0,639;6799992;322020
200039022;880,010;81205;9,22773604845400e+01;0,648;6784298;385213
200039055;319,570;10812;3,38329630440905e+01;0,688;6691187;832287
200039063;426,030;6997;1,64237260286834e+01;0,716;6707923;838893
200039204;733,890;53184;7,24686260883784e+01;0,664;6266500;403959
200039519;350,420;7733;2,20678043490668e+01;0,626;6360690;563871
200039642;791,700;15835;2,00012631047114e+01;0,679;6748833;781285
200039709;528,830;7247;1,37038367717414e+01;0,704;6724888;777621
200039758;726,110;18786;2,58721130407239e+01;0,674;6710347;763338
200039808;414,610;15245;3,67694942234871e+01;0,612;6371952;809384
200039824;266,950;9576;3,58718861209964e+01;0,573;6398227;798480
200039832;331,100;9264;2,79794623980670e+01;0,582;6368992;789214
200039857;491,640;100188;2,03783256041006e+02;0,562;6300564;1009001
200039865;306,180;221484;7,23378404859886e+02;0,654;6893689;930280
200039907;249,650;16331;6,54155818145404e+01;0,715;6881233;940615
200039915;97,520;158111;1,62131870385562e+03;0,594;6280744;1021102
200039931;880,320;9677;1,09925936023264e+01;0,538;6328448;1017734
200039949;126,570;51925;4,10247293987517e+02;0,641;6907017;932094
200040038;318,730;12111;3,79976782856964e+01;0,675;6644798;856631
200040095;287,340;18927;6,58697013990395e+01;0,665;6449003;501609
200040111;356,140;17045;4,78603919806818e+01;0,639;6485432;917793
200040137;442,720;9344;2,11058908565233e+01;0,700;6817255;811389
200040178;119,900;16214;1,35229357798165e+02;0,663;6881219;1060737
200040202;649,410;22218;3,42125929690026e+01;0,505;6282114;936849
200040210;557,660;9165;1,64347451852383e+01;0,569;6294859;966941
200040244;1248,250;73739;5,90739034648508e+01;0,642;6642905;429027
200040251;423,280;23292;5,50274050274050e+01;0,647;6816958;715334
200040277;1063,770;114862;1,07976348270773e+02;0,612;6848588;576339
200040293;450,750;13915;3,08707709373267e+01;0,697;6600897;822475
200040350;543,660;33923;6,23974542912850e+01;0,632;6525745;907789
200040384;237,610;12106;5,09490341315601e+01;0,622;6441289;476040
200040392;1018,430;103757;1,01879363333759e+02;0,677;6450056;522287
200040400;685,850;19607;2,85878836480280e+01;0,686;6469548;494733
200040418;452,020;8440;1,86717401884872e+01;0,594;6354656;544514
200040426;329,160;15998;4,86025033418398e+01;0,701;6964196;729685
200040442;360,890;54879;1,52065726398626e+02;0,544;6305156;876928
200040459;382,660;66944;1,74943814352166e+02;0,594;6389168;846726
200040475;463,730;18323;3,95122161602657e+01;0,678;6768484;465496
200040491;423,660;47239;1,11502147948827e+02;0,591;6460829;848765
200040509;236,660;15673;6,62258091777233e+01;0,541;6401122;873179
200040558;506,300;11078;2,18803081177168e+01;0,691;6666799;582975
200040566;560,060;50616;9,03760311395208e+01;0,633;6544565;810775
200040574;244,710;53136;2,17138653916881e+02;0,673;6536209;827579
200040590;167,860;72677;4,32961992136304e+02;0,616;6547287;826987
200040624;640,330;29137;4,55030999640810e+01;0,577;6313137;892036
200040657;675,890;18956;2,80459838139342e+01;0,610;6427426;924273
200040681;373,120;22800;6,11063464837050e+01;0,579;6370477;853280
200040715;542,540;445059;8,20324768680650e+02;0,655;6453863;914606
200040764;588,460;21003;3,56914658600415e+01;0,524;6069383;1214761
200040772;387,570;9220;2,37892509740176e+01;0,691;6762239;562219
200040798;430,850;9134;2,11999535801323e+01;0,633;6487753;985148
200040814;328,630;9110;2,77211453610443e+01;0,693;6505118;578105
200040830;326,740;9630;2,94729754544898e+01;0,633;6426492;569233
200040889;267,800;8416;3,14264376400299e+01;0,630;6406034;506806
200040905;485,060;29773;6,13800354595308e+01;0,632;6330231;632203
200040947;636,890;102391;1,60767165444582e+02;0,693;7073682;667572
200040954;450,720;53584;1,18885339013135e+02;0,704;7089931;656605
200041010;315,630;37100;1,17542692392992e+02;0,642;6493974;944226
200041051;256,120;9030;3,52569108230517e+01;0,645;6413051;544558
200041150;581,610;22357;3,84398480081154e+01;0,646;6455001;555677
200041168;482,250;15629;3,24085018144116e+01;0,609;6434587;544968
200041283;149,270;18402;1,23279962484089e+02;0,647;6882122;1072527
200041317;800,340;121220;1,51460629232576e+02;0,688;6580900;430176
200041325;157,630;36688;2,32747573431453e+02;0,702;6866020;1066286
200041333;826,400;37381;4,52335430784124e+01;0,672;6619787;454509
200041366;201,690;33809;1,67628538846745e+02;0,651;6427493;841884
200041416;196,260;6897;3,51421583613574e+01;0,675;6639128;458773
200041440;385,260;8561;2,22213570056585e+01;0,648;6404472;553875
200041465;488,930;12534;2,56355715542102e+01;0,613;6426122;810143
200041499;441,570;30188;6,83651516180900e+01;0,607;6579504;400294
200041515;269,280;40477;1,50315656565657e+02;0,663;6869315;924334
200041523;1747,170;68107;3,89813240840903e+01;0,644;6484075;433021
200041556;337,420;6635;1,96639203366724e+01;0,684;6585264;619591
200041572;402,810;11253;2,79362478587920e+01;0,665;6480696;513441
200041614;452,910;31958;7,05614802057804e+01;0,607;6562615;405865
200041622;433,120;9761;2,25364794975988e+01;0,676;6970896;798096
200041630;549,330;121469;2,21122094187465e+02;0,666;6961573;831828
200041689;1411,340;52173;3,69669959046013e+01;0,648;6544227;434457
200041721;430,930;17760;4,12131900772747e+01;0,679;6760302;938852
200041762;426,460;63220;1,48243680532758e+02;0,623;6544762;393370
200041853;238,800;6580;2,75544388609715e+01;0,642;6715074;941482
200041861;371,390;11053;2,97611675058564e+01;0,663;6738260;949855
200041879;367,150;13180;3,58981342775432e+01;0,678;6744275;931856
200041887;303,210;14340;4,72939546848719e+01;0,655;6691089;909511
200041960;312,350;95816;3,06758444053145e+02;0,720;7045944;711051
200041994;346,960;30803;8,87796864191838e+01;0,668;6593893;454836
200042000;221,560;15159;6,84193897815490e+01;0,632;6795093;972949
200042174;732,700;204107;2,78568308994131e+02;0,681;6764525;227162
200042182;546,930;16022;2,92944252463752e+01;0,709;6817118;460029
200042190;373,920;158837;4,24788724860933e+02;0,631;7030278;727813
200042372;403,920;10687;2,64582095464448e+01;0,659;6277163;522232
200042414;283,100;9875;3,48816672553868e+01;0,654;6630745;873409
200042463;297,560;5838;1,96195725231886e+01;0,618;6253225;644488
200042497;180,990;38587;2,13199624288635e+02;0,668;6542569;841126
200042604;286,110;44276;1,54751668938520e+02;0,731;6869328;371613
200042620;479,710;7712;1,60763794792687e+01;0,689;6892264;814275
200042646;459,460;20176;4,39124189265660e+01;0,613;6284453;710236
200042653;314,200;17810;5,66836409929981e+01;0,649;6254119;698223
200042703;833,950;11969;1,43521793872534e+01;0,735;6887739;833863
200042729;302,780;23039;7,60915516216395e+01;0,705;6925774;388199
200042901;289,330;42442;1,46690630076383e+02;0,555;6363221;843569
200042935;610,630;63099;1,03334261336652e+02;0,597;6564105;899292
200042943;308,610;6766;2,19241113379346e+01;0,639;6218509;1222755
200042992;288,260;5663;1,96454589606605e+01;0,708;6839755;824740
200043016;402,610;13841;3,43781823601003e+01;0,672;6550402;480528
200043065;253,100;27851;1,10039510075069e+02;0,682;6706608;549156
200043081;347,460;23447;6,74811489092270e+01;0,695;6678652;487308
200043123;524,400;87546;1,66945080091533e+02;0,684;6743818;246576
200043156;815,890;29904;3,66519996568165e+01;0,687;6932805;792557
200043172;807,960;107507;1,33059804940839e+02;0,676;6457626;577489
200043263;419,460;29788;7,10151146712440e+01;0,630;7005010;769559
200043321;468,300;48392;1,03335468716635e+02;0,683;7016770;748986
200043354;296,530;15669;5,28411965062557e+01;0,686;6869827;392693
200043396;345,480;125160;3,62278568947551e+02;0,583;7017532;768862
