codgeo,1ry_res,2ry_res,Vacant_Home,Houses,Flats,Nb_Rooms_1ry_res,House_1ry_res,Flat_1ry_res,1ry_res_bf_1919,1ry_res_19-45,1ry_res_46-70,1ry_res_71-90,1ry_res_91-05,1ry_res_06-15,HH_Moving_Time_lt2y,HH_Moving_Time_2to4y,HH_Moving_Time_5to9y,HH_Moving_Time_10to19y,HH_Moving_Time_20to29y,HH_Moving_Time_gt30y,1ry_res_Owner,1ry_res_Tenant,1ry_res_Social,1ry_res_FreeAcc,1ry_res_Carpark,1ry_res_0car,1ry_res_1car,1ry_res_2car,1ry_res_3+car,Pop_per_1ry_res,1ry_res_gt0car,Pop_per_1ry_res_Owner,Pop_per_1ry_res_Tenant,Pop_per_1ry_res_Social,Pop_per_1ry_res_FreeAcc,1ry_res_Occupancy,Owners_Occupancy,Tenant_Occupancy,Social_Occupancy,FreeAcc_Occupancy,Overcrowding_rate,taux_cumu_1_inj
241000488,83.51087216278123,8.145189126657167,8.343938733854717,96.42225818358696,3.223483577993163,4.7992224406689346,96.75252170905856,2.9380221395712702,24.134538079472733,8.928759985560212,12.509853986366466,28.38328052855892,11.88538892067927,14.15817847125118,7.2177330535389945,15.070156138862933,16.864577870497406,21.003931912520773,12.521404820436873,27.322196176250717,75.59955961686322,10.99589004754432,11.497480645888828,0.2264837657648386,79.40336274926933,6.313033619625948,41.1668419673912,41.52215050338098,10.997973881709573,2.3398918234742068,93.68696635248176,2.368743323809973,2.2598996391522417,2.2498355309438467,2.512536242584148,8.004518885626217,7.109234151397131,0.2999051716781773,0.47438475670273855,0.01672127365152376,1.6421244354006197,0.717
241100593,53.997401042051024,39.958777333465726,6.043821624483244,57.66765118067995,41.217915594408744,3.901666478243227,63.68860988840941,35.606500834425006,11.874814209137465,6.729708809961409,15.841327334910137,29.879513852977496,20.345325073161497,15.32931071820666,14.919048771849635,21.979064761194447,17.255828587166086,20.35487977366312,10.400496876630971,15.090681231086776,58.942104653083696,25.31904605424486,10.405447460343321,2.7775948522265113,62.62722598135453,14.590032938646502,52.38137420804043,28.443700864995936,4.584891988317141,2.041417398793977,85.40996706135351,2.090068572937757,1.926072740332656,2.21817606251729,1.485575678563087,97.44166885014751,77.56184621005222,9.135331986853483,7.739616355686063,0.784930595084088,3.3601517666759464,0.671
241200187,88.59516451433052,3.247947732482391,8.156887753187085,42.88097897828083,56.697637564283376,3.8260469176550425,44.61597834399023,54.99199514811544,5.17329032077323,3.7566805674892,20.187453816531054,36.96734301540968,21.450564839531822,12.46466744395464,17.294492575257898,22.328110765445523,15.905018458857553,16.08054527620667,10.101042268949916,18.29079065168421,56.40219953378289,30.60884297275137,8.174379557195685,3.2292021418261365,76.0817850700385,12.704037106317369,52.16893007614459,30.040922613034493,5.086110200905311,1.945934030935645,87.2959628900844,2.1213992591276867,1.637229054599601,2.1711340199469347,1.198732064991241,44.94874259384747,36.63264101658487,4.876754041150742,2.670843735896927,0.28209374274169446,2.1604442488688966,0.725
241200542,65.43971951674415,24.030978540432294,10.52930194282356,93.42930003845342,6.216181809502793,4.970648218508465,92.48860045039919,7.303872805471895,23.998954993924773,13.231677656626141,18.93431846603731,21.995491680084566,14.764965709419405,7.074591493907796,8.168981611714742,12.225550280860364,11.465685895798288,18.609217219673663,11.08301388793911,38.447551104013826,82.15611247247264,11.603563077283608,1.64806311870034,1.1168775658093955,78.35797853928754,8.07638593363174,51.517653601466115,33.57549953728091,6.830460927621221,2.1221490741408293,91.92361406636826,2.1843853276503937,1.9046668552431283,1.5231530371540882,1.6997634956301084,7.2335124891909715,6.779593713651433,0.1800539733875439,0.04123428544049501,0.018411419924205606,0.8252516001277967,0.737
241200567,77.6385939298476,12.217017223924223,10.14438885175887,56.347316927317515,43.240933992919686,3.9898428019376273,56.62440797399777,42.98853551140268,14.602583815966996,8.171438602467578,26.618548847285876,27.57584087076557,14.827406532428181,8.2041813310858,13.241605334215846,19.317016553184786,15.903035080622482,19.520105908872647,11.595115754254186,20.423121354602774,62.31722085964308,22.849783724805743,10.782216884902724,2.036323801744107,62.19723043887184,15.739544458036573,48.97817078806472,29.569779502355725,5.712505251542983,2.0552593074020513,84.26045554196342,2.1256889526158362,1.8272494699241364,2.2834135041338572,1.4303139383800514,25.670953383482665,21.160906634519076,2.1102278207857337,1.8591184198397868,0.1507562485882667,2.1590230604424816,0.7
241200625,73.02053967726717,15.172318167276678,11.807142155456162,85.91506627651965,13.78079407744798,4.724812622951712,87.38676752647734,12.284813472883652,22.681394360205395,7.152739349324019,11.852514076994776,24.731349251145623,14.679022345863617,18.902980616466575,11.297035791752553,17.13341610282528,16.219402749735284,17.643694600769113,10.218454784955552,27.487995969962224,76.15202895491727,16.884517181506727,2.6107383978490186,1.5927144384658496,81.6230190414645,6.499084904780695,43.71371791349237,41.23394582433393,8.553251399000056,2.238011830981372,93.50091513682635,2.3222105364226215,2.010399383398831,1.8826649844540464,1.6702700955968361,5.449908209500081,5.0299713266984725,0.25063371686847324,0.05244469074199561,0.024269397957065057,0.2105497802781277,0.701
241200641,71.47789394169094,19.81512906015873,8.706976998150337,90.23888964006046,9.162424465200889,4.739449269072623,90.3443878186243,9.251000262488693,24.493288602511914,7.2506195371380855,11.742705218684716,24.682233204428975,19.59805018746258,12.233103269391984,8.881313984448411,13.668015132900166,14.487757412864093,22.028522915035293,13.40517395564391,27.529216599108125,79.67432778562072,14.865899307377562,2.1215309915269196,0.8306060557334072,79.28046117960848,6.267306378481388,40.83786072952166,43.28396571538469,9.610867157496106,2.2211683135420213,93.73269360240246,2.285962696439879,1.9856426715350912,2.07879413566154,1.7601083827745203,12.421063699688107,11.471791759128068,0.48705703870259714,0.10625628167130971,0.038680348216139505,0.7702416311727599,0.723
241200658,77.90307256966447,13.112365871041668,8.984561559293878,89.67331401615999,9.132951052706396,4.754442777804052,90.09608764521424,8.642882632357438,16.271227861875534,6.477084588001531,12.046035860348574,28.499436554363367,20.90377204561337,15.802443059253303,9.293371025615693,13.76672913579531,15.051502157772743,20.788047681848234,12.946927669002285,28.15342230019379,81.44135697222944,12.162002658599567,2.4319957286271348,1.7146255985608778,84.35867346529047,6.332541564310022,39.42798700678056,44.219805062885925,10.019666366023479,2.2997931554681474,93.66745843568997,2.378375096878326,2.001830562559601,2.365419100693194,1.1917844359088459,7.897853656817046,7.4502348432890475,0.25231665662767433,0.04784242809001325,0.024778556826400726,0.6087948083205742,0.734
241200674,74.75042763689255,14.769613189992,10.479959173115445,90.44642686646398,8.338192134975065,4.717461073155944,89.9005121307274,8.974947232705844,22.53444334634275,6.451593160633608,13.157942280883436,25.147742752538548,16.815126330534596,15.893152092515445,9.215801742352413,15.56723802621937,15.530083627650619,19.047192218426147,11.26445899779825,29.375225423445766,77.2154313253931,17.24703250608273,2.4032625013084767,0.6470511465964889,83.58479540446109,8.317961492176991,41.21670046189851,42.23270738169977,8.232630700117289,2.16539102409641,91.68203854371558,2.221868897793419,1.9420843309366433,2.318945249767456,1.5638447378427724,6.807340429874216,6.261073443442827,0.33859849437930506,0.05160139918456003,0.009239060122156285,0.9254784353697629,0.68
241200765,54.27219085578206,37.36728990704539,8.36051923717254,91.87602757647491,7.266249260999018,4.760419442531587,90.78765931903239,8.039725202112269,24.600470557922304,9.179276352334451,15.984547815649085,22.115684756594696,16.51403671546082,11.605983760717246,8.54882969662148,13.239993184743165,11.821396906700043,19.03108365629936,12.89891891530108,34.45977764033488,81.49311214237565,10.35744370657649,2.317139340529509,1.2912328526299537,75.7281817157421,8.638525195414651,48.73773771455812,34.42991338387734,8.193823706149885,2.140702417932249,91.36147480458534,2.19435624911791,1.8564888371430264,1.7996953128518252,1.9871551602106032,6.8040988937714895,6.30016742449651,0.22891874553664118,0.029193020504641894,0.016876557355729415,0.6140834394659163,0.738
